path,label,bpm,mfccs,rms,zcr,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mel_spectogram,amplitude
/content/drive/MyDrive/thesis/audio/A003.mp3,2,112.34714673913044,186.62501525878906,0.13215573132038116,0.23583984375,1.0,5761.280793711994,4352.102207840832,9560.7421875,80.02919484032955,214.4381866455078,37.716060638427734
/content/drive/MyDrive/thesis/audio/A004.mp3,2,101.33272058823529,192.16043090820312,0.20088352262973785,0.16552734375,1.0,4376.160060917597,3043.681623803826,7838.0859375,77.30264862904244,271.7344055175781,38.935447692871094
/content/drive/MyDrive/thesis/audio/A018.mp3,2,120.18531976744185,211.0317840576172,0.29332202672958374,0.0634765625,1.0,3035.767218142442,3401.642172973842,6826.025390625,72.53780830000201,1111.0262451171875,45.20600891113281
/content/drive/MyDrive/thesis/audio/A029.mp3,2,161.4990234375,192.885498046875,0.21105070412158966,0.12353515625,1.0,4154.316376842462,4140.0850462470535,8893.212890625,76.26619415190527,522.1788940429688,41.3292121887207
/content/drive/MyDrive/thesis/audio/A034.mp3,2,114.84375,161.5426788330078,0.31055307388305664,0.12109375,1.0,6212.285334918287,4798.392539821608,11455.6640625,63.72095981207026,1942.6480712890625,47.20895767211914
/content/drive/MyDrive/thesis/audio/A035.mp3,2,107.666015625,186.0393829345703,0.1586332768201828,0.111328125,1.0,5483.677162163666,4756.943615198209,11304.931640625,61.99383190113258,360.304931640625,40.13673782348633
/content/drive/MyDrive/thesis/audio/A038.mp3,2,112.34714673913044,207.38352966308594,0.18126767873764038,0.1083984375,1.0,3031.2586247506033,4883.138090652755,6589.16015625,62.92670567405529,363.39813232421875,39.806819915771484
/content/drive/MyDrive/thesis/audio/A045.mp3,2,151.99908088235293,190.00161743164062,0.08677752315998077,0.1943359375,1.0,4705.327456623558,4353.692198086654,8720.947265625,62.359844965065996,96.63457489013672,34.598289489746094
/content/drive/MyDrive/thesis/audio/A048.mp3,2,93.96306818181819,190.9826202392578,0.27823716402053833,0.27978515625,1.0,6594.594913507941,5252.387414333472,12273.92578125,62.75947348724339,1068.4334716796875,44.9422492980957
/content/drive/MyDrive/thesis/audio/A060.mp3,2,129.19921875,170.54457092285156,0.1077696681022644,0.3125,1.0,6903.577063936142,4756.274379476714,11778.662109375,63.290018005267996,174.85598754882812,37.139251708984375
/content/drive/MyDrive/thesis/audio/A061.mp3,2,129.19921875,179.28173828125,0.2979011833667755,0.1337890625,1.0,3460.264917269095,3364.578413779201,6115.4296875,70.17595928384,1126.6097412109375,44.701114654541016
